ID,Dest,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
10397,ATL,413867,414521,419208,414596,393051,391953,398882,369842,379498,384252
13930,ORD,375752,350452,314611,313411,313759,310643,306532,287377,313514,243889
11298,DFW,297492,281401,265111,267736,260250,272449,286430,278310,260615,196031
11292,DEN,240762,241470,236202,238549,241397,235620,226491,224067,214135,226225
12892,LAX,237676,215685,193525,199685,210952,222921,224821,221941,212435,212972
14107,PHX,211098,199416,184121,181331,188259,183065,177030,160466,159744,159164
12266,IAH,200439,185160,183023,183218,175223,177370,181073,174235,159910,137092
12889,LAS,183691,172871,154472,145222,146278,142258,138609,137058,145900,150690
11433,DTW,177500,162000,152492,160956,89665,92010,163461,105984,118311,124127
13487,MSP,155846,130320,120095,125808,104326,110578,146822,106202,122751,129148
11618,EWR,154106,138491,119128,114191,111862,120534,120675,110221,111486,115945
14869,SLC,147789,139077,131833,124709,119459,110303,112587,108586,105957,108854
14771,SFO,138422,140579,136978,140024,145722,171339,168069,166883,162136,172398
13204,MCO,129803,130859,121719,122319,124291,120159,113866,110409,120028,125729
10721,BOS,128388,117944,110763,113523,109693,103215,111365,110630,118012,121253
11057,CLT,127131,126030,117311,125503,128715,135939,148747,112256,109895,110687
12478,JFK,126535,118802,119666,112017,94404,97102,111349,100550,102094,97726
12953,LGA,123007,119117,100667,102562,97939,99373,104660,106952,108151,96586
10821,BWI,109395,104068,101280,105563,104577,103343,100319,90845,94105,96211
14747,SEA,109147,109075,100961,98597,100125,100167,103086,108722,121292,132627
14100,PHL,104099,100483,93219,88602,86249,78519,80979,72823,72106,73166
14679,SAN,97302,93750,82929,78651,76335,77125,76679,76732,76414,78189
13232,MDW,95860,87600,84221,84697,86834,86738,89418,88498,88497,87802
11278,DCA,89715,86671,80182,78721,72746,70905,73970,72530,80617,77797
15304,TPA,79799,78171,69453,68763,69051,67430,66095,64879,69062,67949
