ID,Origin,2007,2008,2009,2010,2011,2012,2013,2014,2015,"2016	"
"	10397",ATL,413908,414513,419211,414666,392864,392015,398878,369779,379424,384375
"	13930",ORD,375817,350380,314690,313399,313589,310778,306439,287036,313536,244082
"	11298",DFW,297357,281281,265100,267729,260245,272466,286427,278309,260595,196049
"	11292",DEN,240932,241443,236179,238488,241371,235711,226597,224205,214191,226136
"	12892",LAX,237597,215608,193486,199676,210887,222904,224821,221932,212401,212983
"	14107",PHX,211072,199408,184119,181319,188315,183056,177027,160475,159736,159126
"	12266",IAH,200431,185172,183035,183233,175197,177171,181071,174210,159833,137092
"	12889",LAS,183668,172876,154482,145237,146294,142259,138614,137055,145869,150686
"	11433",DTW,177506,161989,152499,160925,89768,92044,163550,105980,118425,123959
"	13487",MSP,155860,130289,120080,125802,104300,110567,146815,106218,122701,129234
"	11618",EWR,154125,138506,119134,114177,111863,119849,120835,110356,111394,115783
"	14869",SLC,147808,139087,131845,124697,119420,110292,112577,108586,105973,108819
"	14771",SFO,138491,140587,136923,140002,145734,171298,168070,166893,162178,172358
"	13204",MCO,129780,130872,121718,122317,124281,120158,113885,110417,120029,125715
"	10721",BOS,128425,117915,110760,113540,109695,103218,111373,110636,118011,121260
"	11057",CLT,127123,126045,117323,125471,128720,135945,148745,112243,109896,110676
"	12478",JFK,126561,118804,119672,112030,94430,97115,111279,100560,102114,97751
"	12953",LGA,123030,119135,100686,102556,97955,99361,104662,106966,108195,96569
"	10821",BWI,109427,104074,101281,105584,104579,103329,100331,90851,94101,96218
"	14747",SEA,109127,109069,100980,98598,100136,100165,103082,108714,121287,132625
"	14100",PHL,104106,100499,93210,88620,86250,78526,80996,72835,72115,73164
"	14679",SAN,97316,93775,82941,78662,76385,77131,76682,76731,76416,78183
"	13232",MDW,95867,87619,84218,84694,86834,86745,89418,88501,88503,87809
"	11278",DCA,89714,86662,80179,78719,72754,70896,73974,72525,80613,77802
"	15304",TPA,79790,78179,69449,68763,69049,67430,66088,64873,69049,67966
